query,site,type,notes,status,top_names,top_categories,top_ids,top_scores,total_results,latency_ms,error
ма,Store A,open,Mobile keystroke for butter/oil,ok,Масло подсолнечное нерафинированное «Gol | Макароны из твердых сортов penne «La Lin | Масло оливковое Extra Virgin «Gusto» 500,Бакалея | Бакалея | Бакалея,P0008 | P0014 | P0023,5.5 | 5.5 | 5.5,5,9.6,
йогурт гр,Store A,open,Partial multi-word,ok,Йогурт греческий черника «Mediterran» 14 | Йогурт греческий натуральный «Mykonos» 9 | Йогурт греческий черника «Mediterran» 14,Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0164,41.7 | 41.7 | 41.7,5,17.1,
bon pa,Store A,open,Foreign brand transliteration,ok,Мармелад жевательный ягодный «Bon Paris» | Шоколад премиальный молочный «Bon Paris» | Мармелад жевательный sour «Bon Paris» 15,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия,P0028 | P0330 | P0581,53.3 | 53.3 | 53.3,5,13.2,
холс,Store B,open,Brand typed in Cyrillic,ok,,,,,0,9.1,
крем для рук,Store B,open,Full phrase but should tolerate prefixes,ok,Крем для рук коллаген «Herbal Line» 100м | Крем для рук коллаген «Herbal Line» 100м | Крем для рук питательный «Herbal Line» 7,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0202 | P0501 | P0558,67.4 | 67.4 | 67.4,5,12.4,
масло раст 10л,Store C,open,B2B volume intent,ok,,,,,0,11.3,
кар тофель,Store D,open,Broken spacing,ok,Шоколад премиальный с карамелью «Nordic  | Шоколад премиальный с карамелью «Nordic ,Кондитерские изделия | Кондитерские изделия,P0379 | P0388,26.7 | 26.7,2,16.7,
xfq,Store E,open,Wrong keyboard layout for чай,ok,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г,Кофе и чай | Кофе и чай | Кофе и чай,P0105 | P0207 | P0276,14.4 | 14.4 | 14.4,5,11.3,
adapter usb c,Store E,open,English technical query,ok,Кабель USB-C 1м «VoltEdge» 1шт | Кабель USB-C 2м «TechNode» 1шт | Кабель USB-C 1м «FlexWire» 1шт,Электроника | Электроника | Электроника,P0093 | P0136 | P0140,47.9 | 47.9 | 47.9,5,28.8,
pr,Store F,open,Wine prefix (prosecco/premium),ok,Минеральная вода premium glass «Aqua Pur | Зубная паста fresh mint «ProDent» 75мл | Зубная паста sensitive «ProDent» 75мл,Напитки | Косметика и гигиена | Косметика и гигиена,P0016 | P0024 | P0027,5.5 | 5.5 | 5.5,5,10.9,
riesling mos,Store F,open,Region-specific wine,ok,Вино игристое riesling mosel «Rieslingha | Вино игристое riesling mosel «Rieslingha | Вино игристое riesling mosel «Mosel Craf,Алкоголь | Алкоголь | Алкоголь,P0233 | P0759 | P0125,53.6 | 53.6 | 50.0,5,31.3,
памперсы 3,Store D,open,Size constraint,ok,Подгузники детские размер 3 «EcoBaby» 60 | Подгузники детские размер 3 «EcoBaby» 32 | Подгузники детские размер 2 «PampKids» 3,Детские товары | Детские товары | Детские товары,P0144 | P0682 | P0300,33.5 | 33.5 | 21.7,5,29.5,
масло сл,Store A,open,Two-letter stop,ok,Масло сливочное безлактозное «Teos» 1кг | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг,Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0544 | P0713,31.2 | 31.2 | 31.2,5,12.2,
филе инд,Store A,open,Protein intent,ok,Филе грудки индейки HoReCa «FarmLine» 5к | Филе грудки индейки охлажденное «Protein | Филе грудки индейки HoReCa «FarmLine» 70,Мясо и птица | Мясо и птица | Мясо и птица,P0004 | P0288 | P0291,41.2 | 41.2 | 41.2,5,19.9,
teos,Store A,open,Brand prefix,ok,Масло сливочное безлактозное «Teos» 1кг | Йогурт греческий персик «Teos» 900г | Йогурт греческий черника «Teos» 140г,Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0284 | P0304,20.1 | 20.1 | 20.1,5,11.3,
греч не,Store C,open,Cyrillic split,ok,Йогурт греческий черника «Mediterran» 14 | Йогурт греческий натуральный «Mykonos» 9 | Йогурт греческий черника «Mediterran» 14,Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0164,27.0 | 27.0 | 27.0,5,11.0,
